date,product,demand
2025-01-01,Part-A101,122
2025-01-02,Part-A101,145
2025-01-03,Part-A101,147
2025-01-04,Part-A101,145
2025-01-05,Part-A101,120
2025-01-06,Part-A101,112
2025-01-07,Part-A101,115
2025-01-08,Part-A101,123
2025-01-09,Part-A101,122
2025-01-10,Part-A101,153
2025-01-11,Part-A101,144
2025-01-12,Part-A101,112
2025-01-13,Part-A101,113
2025-01-14,Part-A101,113
2025-01-15,Part-A101,126
2025-01-16,Part-A101,126
2025-01-17,Part-A101,141
2025-01-18,Part-A101,143
2025-01-19,Part-A101,145
2025-01-20,Part-A101,120
2025-01-21,Part-A101,121
2025-01-22,Part-A101,127
2025-01-23,Part-A101,139
2025-01-24,Part-A101,154
2025-01-25,Part-A101,141
2025-01-26,Part-A101,120
2025-01-27,Part-A101,109
2025-01-28,Part-A101,119
2025-01-29,Part-A101,128
2025-01-30,Part-A101,144
2025-01-31,Part-A101,145
2025-02-01,Part-A101,142
2025-02-02,Part-A101,115
2025-02-03,Part-A101,126
2025-02-04,Part-A101,143
2025-02-05,Part-A101,142
2025-02-06,Part-A101,146
2025-02-07,Part-A101,154
2025-02-08,Part-A101,131
2025-02-09,Part-A101,113
2025-02-10,Part-A101,124
2025-02-11,Part-A101,117
2025-02-12,Part-A101,122
2025-02-13,Part-A101,137
2025-02-14,Part-A101,138
2025-02-15,Part-A101,140
2025-02-16,Part-A101,131
2025-02-17,Part-A101,125
2025-02-18,Part-A101,128
2025-02-19,Part-A101,139
2025-02-20,Part-A101,143
2025-02-21,Part-A101,143
2025-02-22,Part-A101,128
2025-02-23,Part-A101,135
2025-02-24,Part-A101,117
2025-02-25,Part-A101,118
2025-02-26,Part-A101,143
2025-02-27,Part-A101,138
2025-02-28,Part-A101,155
2025-03-01,Part-A101,142
2025-03-02,Part-A101,119
2025-03-03,Part-A101,118
2025-03-04,Part-A101,130
2025-03-05,Part-A101,140
2025-03-06,Part-A101,157
2025-03-07,Part-A101,151
2025-03-08,Part-A101,167
2025-03-09,Part-A101,120
2025-03-10,Part-A101,116
2025-03-11,Part-A101,122
2025-03-12,Part-A101,123
2025-03-13,Part-A101,154
2025-03-14,Part-A101,156
2025-03-15,Part-A101,141
2025-03-16,Part-A101,123
2025-03-17,Part-A101,108
